incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I152055319,2015-07-05 00:40:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I150356925,2015-07-04 03:15:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055577,2015-07-05 23:39:13+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152055608,2015-07-06 03:29:00+00,C6,Non-Fatal,Male,White,Hispanic or Latinx,f
I152056444,2015-07-08 17:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I150373043,2015-07-11 17:57:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057410,2015-07-11 22:50:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057392,2015-07-11 22:14:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057567,2015-07-12 16:25:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057685,2015-07-13 12:33:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057684,2015-07-12 23:47:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152057684,2015-07-12 23:47:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152058305,2015-07-14 18:52:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152059221,2015-07-17 20:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152059273,2015-07-17 23:57:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152059273,2015-07-17 23:57:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152059526,2015-07-19 00:09:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152060108,2015-07-20 23:06:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152059883,2015-07-20 10:35:00+00,E5,Fatal,Male,White,Hispanic or Latinx,f
I152060642,2015-07-22 18:56:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152061055,2015-07-24 01:30:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152061546,2015-07-25 15:26:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152061546,2015-07-25 15:26:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152062504,2015-07-28 22:32:00+00,B2,Fatal,Female,Black or African American,Hispanic or Latinx,f
I152061904,2015-07-27 00:09:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152061904,2015-07-27 00:09:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152061904,2015-07-27 00:09:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152058960,2015-07-16 23:32:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I152058960,2015-07-16 23:32:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152062772,2015-07-29 21:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152062772,2015-07-29 21:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152063927,2015-08-02 23:42:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152063597,2015-08-01 18:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152063708,2015-08-02 03:38:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152064063,2015-08-03 12:43:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152064063,2015-08-03 12:43:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152064063,2015-08-03 12:43:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152065478,2015-08-08 02:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152065459,2015-08-08 00:01:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152065731,2015-08-09 01:04:00+00,B2,Non-Fatal,Female,White,Hispanic or Latinx,f
